codigo,titulo,autore,possui,lido,paginas,formato,genero,editora,ano
G130a, A Arte Da Prudência, Baltasar Gracion,avaliable,read,176, E-Book, spanish literature, Wmf Martins,1647
P140a, A Arvore Que Dava Dinheiro, Domingos Pelegrini,avaliable,read,128, Fisico, brazilian Literature, Moderna,1981
G112a, A Culpa É Das Estrelas, John Green,avaliable,read,288, E-Book, United States Young Adult Literature, Intrínseca,2012
L241a, A Mala De Hana, Karen Levaine,avaliable,read,112, fisico, History of Holocaust, Melhoramentos,2002
C334a, A Mansão Hollow, Aghata Christie,whishlist,unread,279, Fisico, Whodunit,Harpercollins,1946
W113a, A Menina E O Porquinho, E. B. White,whishlist,unread,192, Fisico, United States Children's Literature, Na,1973
Z121a, A Menina Que Roubava Livros, Markus Zusak,whishlist,unread,584, E-Book, English Romance, Intrínseca,2005
M140a, A Moreninha, Joaquim Manuel De Macedo,whishlist,unread,299, E-Book, Brasilian literature, Na,1844
D330s, Sherlock Holmes: Obra Completa, Arthur Conan Doyle,avaliable,unread,2153, E-Book, police fiction, Harpercollins,1887
B300a, A Mulher De 30 Anos, Honoré De Balzac,avaliable,unread,224, E-Book, Ficction, Penguin-Companhia,1842
D575a, A Origem Das Espécies, Charles Darwin,avaliable,unread,363, Fisico, Evolution And Genetic, Folha De S. Paulo,1859
N310r.001, Re:Zero – Começando Uma Vida Em Outro Mundo 001, Tappei Nagatsuki,avaliable,unread,416, Fisico, Fantasy, Newpop,2014
N310r.002, Re:Zero – Começando Uma Vida Em Outro Mundo 002, Tappei Nagatsuki,avaliable,unread,440, Fisico, fantasy, Newpop,2014
N310r.003, Re:Zero – Começando Uma Vida Em Outro Mundo 003, Tappei Nagatsuki,avaliable,unread,424, Fisico, fantasy, Newpop,2014
N310r.004, Re:Zero – Começando Uma Vida Em Outro Mundo 004, Tappei Nagatsuki,avaliable,unread,432, Fisico, fantasy, Newpop,2014
N310r.005, Re:Zero – Começando Uma Vida Em Outro Mundo 005, Tappei Nagatsuki,avaliable,unread,400, Fisico, fantasy, Newpop,2014
N310r.006, Re:Zero – Começando Uma Vida Em Outro Mundo 006, Tappei Nagatsuki,avaliable,unread,360, Fisico, fantasy, Newpop,2014
N310r.007, Re:Zero – Começando Uma Vida Em Outro Mundo 007, Tappei Nagatsuki,avaliable,unread,336, Fisico, fantasy, Newpop,2014
N310r.008, Re:Zero – Começando Uma Vida Em Outro Mundo 008, Tappei Nagatsuki,avaliable,unread,328, Fisico, fantasy, Newpop,2014
N310r.009, Re:Zero – Começando Uma Vida Em Outro Mundo 009, Tappei Nagatsuki,avaliable,unread,448, Fisico, fantasy, Newpop,2014
N310r.010, Re:Zero – Começando Uma Vida Em Outro Mundo 010, Tappei Nagatsuki,avaliable,unread,448, Fisico, fantasy, Newpop,2014
N310r.011, Re:Zero – Começando Uma Vida Em Outro Mundo 011, Tappei Nagatsuki,avaliable,unread,472, Fisico, fantasy, Newpop,2014
N310r.012, Re:Zero – Começando Uma Vida Em Outro Mundo 012, Tappei Nagatsuki,avaliable,unread,480, Fisico, fantasy, Newpop,2014
N310r.013, Re:Zero – Começando Uma Vida Em Outro Mundo 013, Tappei Nagatsuki,avaliable,unread,480, Fisico, fantasy, Newpop,2014
N310r.014, Re:Zero – Começando Uma Vida Em Outro Mundo 014, Tappei Nagatsuki,avaliable,unread,488, Fisico, fantasy, Newpop,2014
N310r.015, Re:Zero – Começando Uma Vida Em Outro Mundo 015, Tappei Nagatsuki,avaliable,unread,496, Fisico, fantasy, Newpop,2014
N310r.016, Re:Zero – Começando Uma Vida Em Outro Mundo 016, Tappei Nagatsuki,avaliable,read,496, Fisico, fantasy, Newpop,2014
N310r.017, Re:Zero – Começando Uma Vida Em Outro Mundo 017, Tappei Nagatsuki,avaliable,unread,468, Fisico, fantasy, Newpop,2014
N009r.018, Re:Zero – Começando Uma Vida Em Outro Mundo 018, Tappei Nagatsuki,whishlist,unread,300, Fisico, fantasy, Newpop,2014
